Condition,age,AGE_days,subnum,Competence_NEW,Competence_include_OneTrial
Cane,9m,285,2,2301,2301
Cane,9m,277,3,1417,1417
Cane,9m,281,4,,
Cane,9m,303,5,,
Cane,9m,300,6,,646
Cane,9m,304,7,,
Cane,9m,306,8,1557,1557
Cane,9m,290,9,2584,2584
Cane,9m,297,10,1819,1819
Cane,9m,290,11,1751,1751
Cane,9m,290,12,,
Cane,9m,276,13,3536,3536
Cane,9m,274,15,,
Cane,9m,294,17,1080,1080
Cane,9m,295,18,,1360
Cane,9m,296,20,2831,2831
Cane,9m,300,21,2703,2703
Cane,12m,405,124,794,794
Cane,12m,402,125,,1156
Cane,12m,391,126,,
Cane,12m,413,127,,
Cane,12m,393,128,2187,2187
Cane,12m,368,1210,1675,1675
Cane,12m,406,1211,,3536
Cane,12m,390,1216,2193,2193
Cane,12m,368,1217,,
Cane,12m,358,1219,3811,3811
Cane,12m,354,1220,,2823
Cane,12m,368,1221,,1700
Cane,12m,369,1222,1054,1054
Cane,12m,353,1223,2891,2891
Cane,12m,372,1224,578,578
Cane,12m,389,1225,,
Cane,12m,387,1226,1247,1247
Cane,12m,359,1227,1822,1822
Cane,12m,382,1228,986,986
Grasp,9m,285,2,589,589
Grasp,9m,277,3,374,374
Grasp,9m,281,4,830,830
Grasp,9m,303,5,578,578
Grasp,9m,300,6,,850
Grasp,9m,304,7,,
Grasp,9m,306,8,,
Grasp,9m,290,9,768,768
Grasp,9m,297,10,1422,1422
Grasp,9m,290,11,1123,1123
Grasp,9m,290,12,564,564
Grasp,9m,276,13,1079,1079
Grasp,9m,274,15,,
Grasp,9m,294,17,540,540
Grasp,9m,295,18,602,602
Grasp,9m,296,20,,586
Grasp,9m,300,21,1678,1678
Grasp,12m,405,124,410,480
Grasp,12m,402,125,1256,1256
Grasp,12m,391,126,,
Grasp,12m,413,127,708,708
Grasp,12m,393,128,608,608
Grasp,12m,368,1210,363,363
Grasp,12m,406,1211,654,654
Grasp,12m,390,1216,754,754
Grasp,12m,368,1217,1043,1043
Grasp,12m,358,1219,1452,1452
Grasp,12m,354,1220,950,950
Grasp,12m,368,1221,740,740
Grasp,12m,369,1222,681,681
Grasp,12m,353,1223,765,765
Grasp,12m,372,1224,583,583
Grasp,12m,389,1225,,
Grasp,12m,387,1226,790,790
Grasp,12m,359,1227,578,578
Grasp,12m,382,1228,,1932